repositoryGitHubSlug,npmPackageName,versionOfInterest,versionOfInterestReleaseDate
robhurring/hubot-redmine,hubot-redmine,1.0.0,2020-09-09T19:50:56.380Z
sindresorhus/pretty-bytes,pretty-bytes,2.0.0,2015-05-20T21:05:29.095Z
Dynatrace/serverless-oneagent,@dynatrace/serverless-oneagent,1.0.6,2019-01-15T14:24:19.189Z
coston/react-super-responsive-table,react-super-responsive-table,4.3.2,2018-08-31T18:49:26.022Z
eemeli/intl-pluralrules,intl-pluralrules,1.1.1,2019-10-18T22:02:51.227Z
escaladesports/gatsby-plugin-recaptcha,gatsby-plugin-recaptcha,1.0.4,2018-06-01T14:32:35.379Z
vonovak/react-navigation-props-mapper,react-navigation-props-mapper,2.0.0,2020-02-28T09:16:05.008Z
feross/cross-zip,cross-zip,2.1.5,2016-08-13T19:52:22.954Z
jonschlinkert/glob-fs,glob-fs,0.1.2,2015-07-09T05:47:44.646Z
rburns/ansi-to-html,ansi-to-html,0.6.1,2017-04-29T08:36:40.103Z
less/less-plugin-npm-import,less-plugin-npm-import,2.1.0,2015-05-30T13:08:09.535Z
NathanWalker/nativescript-ngx-fonticon,nativescript-ngx-fonticon,2.2.0,2017-04-20T16:04:40.444Z
nswbmw/koa-ip,koa-ip,1.0.0,2017-12-01T05:53:22.194Z
teleportd/instagram-node,instagram-node,0.5.6,2015-01-29T09:35:35.335Z
ezzygemini/ezzy-express-mvc,ezzy-express-mvc,1.0.9,2018-07-11T13:15:44.069Z
pugjs/babel-plugin-transform-react-pug,babel-plugin-transform-react-pug,1.0.1,2015-12-27T23:40:42.652Z
ahmadnassri/node-nightwatch-accessibility,nightwatch-accessibility,1.7.0,2018-10-23T07:46:58.924Z
csstools/postcss-logical,postcss-logical,4.0.0,2019-06-06T16:20:56.306Z
rehypejs/rehype-minify/tree/main/packages/rehype-sort-attribute-values,rehype-sort-attribute-values,3.0.1,2020-03-21T18:29:57.219Z
dnsimple/dnsimple-node,dnsimple,3.0.0,2019-07-18T14:35:09.424Z
dkelosky/jest-stare,jest-stare,2.0.1,2020-04-29T13:00:02.637Z
egoist/majo,majo,0.4.0,2017-07-07T14:56:26.384Z
aduth/rememo,rememo,2.4.0,2018-02-12T03:38:36.179Z
deepsweet/babel-istanbul-loader,babel-istanbul-loader,0.1.0,2016-03-07T19:53:55.327Z
pugjs/pug-source-gen,pug-source-gen,0.0.0,2015-12-12T00:51:54.749Z
webex/webex-js-sdk/tree/master/packages/node_modules/@webex/plugin-phone,@webex/plugin-phone,1.80.179,2020-04-15T15:41:27.384Z
izaakschroeder/s3-streams,s3-streams,0.2.0,2015-03-24T01:25:40.937Z
njpatel/grpcc,grpcc,0.0.4,2016-08-30T09:44:56.456Z
retyui/react-native-stylex,react-native-stylex,1.0.1,2020-01-12T11:22:34.907Z
VladimirJarabica/splitster,splitster,0.0.8,2017-09-04T17:49:33.892Z
NativeScript/nativescript-dev-xcode,nativescript-dev-xcode,0.1.0,2019-03-25T11:05:12.831Z
pughpugh/react-countdown-clock,react-countdown-clock,2.5.0,2018-10-20T20:58:53.264Z
reggi/pkg-cli,@reggi/pkg-cli,0.0.41,2018-07-28T03:25:45.650Z
chmanie/karma-ng-jade2js-preprocessor,karma-ng-jade2js-preprocessor,0.2.1,2015-07-29T17:20:52.052Z
nfour/lutils,lutils,1.0.1,2016-04-23T07:31:06.451Z
DaMouse404/express-cache-controller,express-cache-controller,1.0.1,2016-05-23T12:31:58.847Z
caolan/async,async,2.1.0,2016-10-12T18:22:41.697Z
atom/space-pen,space-pen,4.3.2,2015-01-02T19:05:02.112Z
Microsoft/BotFramework-DirectLineJS,botframework-directlinejs,0.9.11,2017-08-14T17:24:48.758Z
sindresorhus/gulp-bom,gulp-bom,1.0.0,2015-06-30T19:12:24.505Z
GitbookIO/plugin-search,gitbook-plugin-search,1.2.0,2016-03-07T09:59:16.924Z
rintoj/angular2-virtual-scroll,angular2-virtual-scroll,0.3.4,2018-07-20T03:33:21.033Z
sindresorhus/is-admin,is-admin,3.0.0,2019-04-19T13:26:26.160Z
gemini-testing/hermione,hermione,3.6.0,2020-06-24T07:12:28.113Z
puzpuzpuz/cls-rtracer,cls-rtracer,2.4.0,2020-10-02T11:21:40.980Z
babel/babel/tree/master/packages/babel-plugin-transform-es3-property-literals,babel-plugin-transform-es3-property-literals,6.0.2,2015-10-29T18:16:49.107Z
rx-ts/rollup,rollup-plugin-insert,1.0.0,2019-06-28T15:52:03.904Z
gregnb/react-to-print,react-to-print,1.0.5,2018-02-09T13:51:44.947Z
iwinks/node-aurora,node-aurora,0.1.9,2016-06-06T17:45:33.796Z
apigee-127/bagpipes,bagpipes,0.0.6,2015-10-08T19:56:46.981Z
francisbesset/font-awesome-sass-loader,font-awesome-sass-loader,2.0.1,2017-03-29T13:13:13.813Z
esdoc2/esdoc2,esdoc2,2.1.5,2018-06-13T13:28:08.074Z
kudos/koa-websocket,koa-websocket,2.1.0,2016-10-01T13:04:53.313Z
jarradseers/extends-classes,extends-classes,1.0.3,2017-03-30T07:24:19.310Z
ArkEcosystem/typescript-peers,@arkecosystem/peers,0.2.0,2019-08-29T11:49:34.457Z
juliangruber/silent-npm-registry-client,silent-npm-registry-client,2.1.0,2016-02-28T10:45:36.021Z
appium/appium-selendroid-installer,appium-selendroid-installer,0.1.0,2015-10-30T20:13:21.400Z
npm/init-package-json,init-package-json,1.6.1,2015-06-19T07:29:29.871Z
VladimirJarabica/splitster-redux,splitster-redux,0.0.24,2018-08-01T14:18:46.337Z
mysticatea/eslint-plugin-node,eslint-plugin-node,5.1.0,2017-06-25T20:45:16.311Z
node-modules/childprocess,childprocess,2.0.2,2016-06-20T14:28:35.510Z
wswebcreation/protractor-image-comparison,protractor-image-comparison,1.7.0,2018-04-19T08:05:03.025Z
vigetlabs/grunt-complexity,grunt-complexity,0.3.1,2016-08-18T11:17:38.793Z
DockYard/ember-maybe-in-element,ember-maybe-in-element,0.0.0,2017-12-21T19:43:52.419Z
laverdet/node-fibers,fibers,4.0.3,2020-01-07T22:15:37.441Z
git@github.com:paypal/nemo-mocha-factory,nemo-mocha-factory,0.2.2,2015-02-12T21:36:22.760Z
sindresorhus/del,del,4.1.0,2019-04-01T09:07:22.464Z
canjs/can-type,can-type,0.2.1,2019-08-07T02:22:50.664Z
wojtekmaj/react-datetime-picker,react-datetime-picker,1.5.0,2018-08-19T09:29:30.661Z
gargol/swagger-express-validator,swagger-express-validator,0.0.7,2017-03-14T22:38:32.151Z
webex/spark-js-sdk/tree/master/packages/node_modules/@ciscospark/plugin-messages,@ciscospark/plugin-messages,1.50.19,2019-04-09T15:22:46.957Z
klughammer/node-randomstring,randomstring,1.1.5,2016-05-18T07:52:32.898Z
OpenVidu/openvidu,openvidu-browser,1.1.1,2017-10-04T08:39:02.372Z
algolia/algoliasearch-client-javascript,algoliasearch,3.34.0,2019-08-29T12:51:53.918Z
lukejpreston/junit_viewer,junit-viewer,4.3.0,2016-01-05T09:10:55.986Z
fastify/fastify-autoload,fastify-autoload,0.7.0,2019-04-12T20:01:15.740Z
sin-group/base-ui,base-ui,0.0.207,2019-12-10T10:55:08.593Z
chaijs/chai-http,chai-http,4.1.0,2018-08-29T16:17:52.012Z
git+ssh://git@bitbucket.org/sustain-hawaii/heal-common,@sustainhawaii/heal-common,4.63.1,2019-03-18T00:52:09.098Z
typicode/hotel,hotel,0.4.22,2016-05-08T22:03:37.642Z
littlebee/git-log-utils,git-log-utils,0.2.1,2016-03-30T02:28:54.135Z
bokuweb/react-resizable-box,re-resizable,6.7.0,2020-10-17T02:16:12.637Z
feathersjs/feathers-errors,feathers-errors,2.9.2,2017-09-05T23:06:02.399Z
yuku-t/jquery-textcomplete,jquery-textcomplete,1.8.4,2017-08-29T10:16:09.659Z
wheresvic/mongoose-field-encryption,mongoose-field-encryption,0.0.2,2016-10-07T21:41:38.747Z
git@github.com:facebook/fb-flo,fb-flo,0.5.0,2015-10-13T20:28:04.282Z
sergeyfilimonov/gridsome-plugin-gtm,gridsome-plugin-gtm,0.1.0,2019-02-27T13:41:32.121Z
natewatson999/node-virustotal,node-virustotal,0.8.3,2016-05-26T16:07:36.139Z
alfateam/a_test,a_test,1.0.0,2016-04-28T06:22:29.766Z
jasonray/statman-stopwatch,statman-stopwatch,2.11.0,2019-09-19T21:00:21.789Z
mongodb-js/electron-installer-zip,electron-installer-zip,0.1.2,2016-04-26T17:04:23.556Z
gajus/slonik-interceptor-query-benchmarking,slonik-interceptor-query-benchmarking,1.3.10,2020-02-13T07:39:45.517Z
ddo/oauth-1.0a,oauth-1.0a,0.2.1,2015-04-02T16:06:25.574Z
onokumus/metismenu,metismenu,2.7.6,2018-04-21T19:42:48.013Z
ciscospark/spark-js-sdk/tree/master/packages/plugin-feature,@ciscospark/plugin-feature,0.8.1,2017-05-15T05:31:50.901Z
dominictarr/pull-paramap,pull-paramap,1.1.2,2015-06-15T16:24:14.477Z
coffeedoc/codo,codo,2.1.0,2016-01-18T08:59:41.600Z
yarkeev/grunt-node-sass,grunt-node-sass,1.0.1,2017-06-08T23:15:28.518Z
MattDiMu/postcss-replace-overflow-wrap,postcss-replace-overflow-wrap,3.0.0,2018-08-09T22:24:21.725Z
sindresorhus/plur,plur,4.0.0,2020-02-16T13:26:55.815Z
ElekenAgency/ReactNativeWheelPicker,react-native-wheel-picker-android,2.0.4,2019-01-15T13:47:01.073Z
shapesecurity/shift-reducer-js,shift-reducer,3.0.3,2016-01-16T00:40:26.082Z
obogo/hummingbird,hbjs,0.3.31,2015-01-10T16:05:05.268Z
dhiefphams/gulp-node-inspector,gulp-node-inspector,0.0.4,2015-06-23T08:13:35.763Z
bitrefill/airfill-widget,@bitrefill/airfill-widget,4.2.5,2018-07-30T23:31:42.877Z
damienbod/angular-auth-oidc-client,angular-auth-oidc-client,10.0.12,2020-01-24T13:23:56.321Z
seaneking/poststylus,poststylus,0.2.3,2016-02-04T22:22:14.379Z
warncke/immutable-core-model-view,immutable-core-model-view,0.4.43,2017-12-01T03:12:54.061Z
jpuri/draftjs-utils,draftjs-utils,0.7.2,2017-03-26T16:08:51.011Z
reactioncommerce/reaction-cli,reaction-cli,0.14.1,2017-10-04T00:58:05.381Z
auth0/node-auth0,auth0,2.19.0,2019-08-08T18:03:13.620Z
salesforce/eslint-plugin-lwc,@lwc/eslint-plugin-lwc,0.10.0,2020-05-06T18:02:48.132Z
jandre/always-tail,always-tail,0.2.0,2015-09-27T11:46:14.924Z
kangax/html-minifier,html-minifier,3.5.17,2018-06-25T20:50:56.697Z
codefresh-io/cli,codefresh,0.55.0,2020-05-06T21:18:15.587Z
https://gitlab.soft-artel.com/sp2/node,sp2-node,1.0.47,2017-12-15T23:07:12.038Z
karimsa/gulp-jslint,gulp-jslint,1.0.9,2016-12-14T21:39:36.729Z
zeplin/cli-connect-react-plugin,@zeplin/cli-connect-react-plugin,0.2.4,2020-05-11T18:41:56.156Z
ebu/mcma-libraries,@mcma/api,0.7.5,2019-10-21T18:29:09.592Z
approvals/Approvals.NodeJS,approvals,1.1.1,2015-08-11T00:02:13.515Z
xogroup/felicity,felicity,2.1.2,2017-08-10T20:48:27.675Z
ipfs/js-ipfs-http-response,ipfs-http-response,0.2.1,2018-11-09T16:22:49.691Z
ridedott/eslint-plugin,@ridedott/eslint-plugin,1.4.48,2020-09-22T07:39:07.265Z
mrsteele/dotenv-defaults,dotenv-defaults,1.1.0,2020-01-21T14:41:22.820Z
avengerpenguin/gulp-graph,gulp-graph,0.0.2,2015-06-08T09:31:46.575Z
crypto-browserify/cipher-base,cipher-base,1.0.0,2015-09-26T21:01:59.671Z
gabrieli/jest-serial-runner,jest-serial-runner,1.0.1,2018-10-02T17:29:58.214Z
Vestorly/ember-cli-emblem,ember-cli-emblem,0.9.0,2017-04-28T13:42:50.433Z
ljagis/leaflet-measure,leaflet-measure,2.1.1,2016-12-09T14:43:25.708Z
novemberborn/babel-plugin-import-glob,babel-plugin-import-glob,2.0.0,2017-05-20T13:03:24.082Z
Azure/azure-iot-library,@azure-iot/configuration,2.2.1,2018-05-31T01:11:14.113Z
inversify/inversify-logger-middleware,inversify-logger-middleware,1.0.1,2016-08-29T00:02:22.482Z
node-ffi-napi/get-uv-event-loop-napi-h,get-uv-event-loop-napi-h,1.0.5,2018-10-30T09:41:17.941Z
fknop/hapi-pagination,hapi-pagination,1.8.0,2016-08-18T21:30:21.799Z
derrickpelletier/react-loading-overlay,react-loading-overlay,1.0.1,2018-12-26T19:57:35.901Z
catamphetamine/react-isomorphic-render,react-isomorphic-render,5.0.6,2016-10-05T11:26:39.547Z
dittach/loopback-connector-riak,loopback-connector-riak,0.0.6,2015-03-14T19:03:57.260Z
thesabbir/simple-line-icons,simple-line-icons,2.5.2,2020-07-30T16:21:04.278Z
ndhoule/includes,@ndhoule/includes,1.0.0,2015-05-19T22:19:18.053Z
gajus/markdown-contents,markdown-contents,1.0.9,2016-08-30T22:19:19.300Z
uber/nebula.gl,@nebula.gl/edit-modes,0.19.2,2020-07-28T19:58:38.512Z
pzuraq/ember-cli-babel-polyfills,ember-cli-babel-polyfills,1.0.3,2019-01-31T20:28:20.053Z
curist/grunt-bower,grunt-bower,0.21.0,2016-01-28T07:25:47.433Z
wojtekmaj/enzyme-adapter-react-17,@wojtekmaj/enzyme-adapter-react-17,0.3.1,2020-11-03T09:57:57.959Z
DailyDinities/react-daily-widgets,react-daily-widgets,0.0.379,2017-12-07T09:03:58.289Z
gregberge/svgr/tree/master/packages/plugin-prettier,@svgr/plugin-prettier,4.0.0,2018-11-04T15:17:43.817Z
geelen/react-snapshot,react-snapshot,1.0.0,2016-09-06T08:10:22.444Z
infernojs/inferno-transition-group,inferno-transition-group,1.1.1,2017-01-08T15:31:37.471Z
mongoosastic/mongoosastic,mongoosastic,3.6.0,2015-11-15T08:47:18.472Z
grrowl/react-keyed-flatten-children,react-keyed-flatten-children,1.0.1,2019-11-20T08:45:34.294Z
dommmel/fill-pdf,fill-pdf,1.0.0,2017-07-27T23:47:42.274Z
Xotic750/is-array-buffer-x,is-array-buffer-x,2.0.3,2019-07-18T22:50:47.407Z
paypal/Payouts-NodeJS-SDK,@paypal/payouts-sdk,1.0.0,2020-02-07T10:45:32.994Z
rvagg/gitexec,gitexec,2.0.0,2019-10-02T00:52:11.569Z
gregberge/svgr/tree/master/packages/parcel-plugin-svgr,@svgr/parcel-plugin-svgr,4.3.0,2019-05-28T14:44:17.169Z
googleapis/nodejs-tasks,@google-cloud/tasks,1.1.0,2019-06-05T17:09:13.255Z
avh4/elm-format,elm-format,0.8.0,2018-08-22T06:52:17.773Z
xomaczar/ember-cli-styles-reloader,ember-cli-styles-reloader,0.1.5,2015-07-01T03:38:39.902Z
RyzacInc/fluxile,@codecademy/fluxile,0.8.1,2018-03-27T13:51:47.962Z
electron/electron-docs-linter,electron-docs-linter,1.6.1,2016-09-06T22:00:40.889Z
BitGo/provajs-lib,prova-lib,0.2.4,2017-06-15T18:12:41.330Z
mafintosh/hypercore-protocol,hypercore-protocol,6.8.0,2018-12-03T12:43:51.297Z
csstools/postcss-env-function,postcss-env-function,2.0.0,2018-09-18T03:35:44.626Z
aikoven/ice-to-plain,ice-to-plain,0.2.5,2018-12-25T11:58:27.697Z
stackgl/gl-texture2d-read-float,gl-texture2d-read-float,1.0.1,2015-06-12T20:59:08.748Z
power-assert-js/babel-preset-power-assert,babel-preset-power-assert,2.0.0,2018-01-18T03:24:14.340Z
kuno/GeoIP,geoip,0.5.9,2015-05-07T08:43:58.777Z
rijs/serve,rijs.serve,0.0.24,2016-07-06T23:03:15.120Z
kerimdzhanov/dotenv-flow,dotenv-flow,2.0.0,2019-06-05T00:07:24.174Z
gyzerok/adrenaline,adrenaline,0.5.0,2015-09-03T05:57:47.481Z
neekey/table-parser,table-parser,0.1.3,2016-10-18T08:31:23.260Z
frontarm/navi,react-navi,0.11.3,2019-02-16T17:22:32.764Z
smirzaei/currency-formatter,currency-formatter,1.5.1,2018-08-29T16:19:39.211Z
raxjs/rax-app,stylesheet-loader,0.1.5,2017-01-19T08:20:44.891Z
gl-vis/gl-streamtube3d,gl-streamtube3d,1.0.0,2018-07-05T13:47:53.362Z
emmetio/expand-abbreviation,@emmetio/expand-abbreviation,0.5.5,2017-05-15T23:47:35.275Z
joaomoreno/gulp-atom-electron,gulp-atom-electron,1.0.0,2015-10-26T07:35:33.934Z
electron/i18n,electron-i18n,0.0.7,2017-09-07T23:21:52.948Z
antony/rollup-plugin-svg,rollup-plugin-svg,1.0.0,2017-05-13T21:38:08.724Z
Sunoo/homebridge-camera-ffmpeg,homebridge-camera-ffmpeg,3.0.1,2020-08-25T05:32:23.904Z
salsify/broccoli-css-modules,broccoli-css-modules,0.5.0,2016-09-26T22:56:05.396Z
nikku/eslint-plugin-license-header,eslint-plugin-license-header,0.1.0,2019-02-20T10:21:32.859Z
CSSLint/csslint,csslint,1.0.0,2016-07-15T09:55:29.037Z
ngx-rocket/ascii-logo,@ngx-rocket/ascii-logo,1.0.1,2017-05-11T16:47:58.841Z
mzuccaroli/angular-google-tag-manager,angular-google-tag-manager,0.0.1,2019-05-17T15:17:48.361Z
ioBroker/ioBroker.cloud,iobroker.cloud,1.0.4,2017-06-25T08:54:50.236Z
HospitalRun/components,@hospitalrun/components,0.30.1,2020-01-11T20:09:51.610Z
timer/cssnano-preset-simple,cssnano-preset-simple,1.1.5,2020-08-03T23:46:05.711Z
BabylonJS/Babylon.js,babylonjs,3.1.0,2017-12-13T08:33:37.228Z
lskjs/ux/tree/master/packages/form,@lskjs/form,0.34.160,2019-11-25T12:01:20.069Z
prantlf/dayjs,dayjs-ext,1.11.0,2018-09-27T06:52:55.422Z
jmerrifield/gulp-gunzip,gulp-gunzip,0.0.3,2015-05-23T18:51:34.648Z
rtsao/csjs-inject,csjs-inject,1.0.0,2016-02-23T10:31:09.826Z
fusionjs/fusionjs,fusion-react,3.1.9,2020-01-14T00:43:40.531Z
Synerzip/loopback-connector-sqlite,loopback-connector-sqlite,1.1.0,2015-10-12T21:12:30.354Z
lykmapipo/mongoose-connection,@lykmapipo/mongoose-connection,0.1.1,2018-03-07T10:06:27.146Z
unitech/pm2-axon-rpc,pm2-axon-rpc,0.5.1,2018-04-26T17:35:22.405Z
amalto/platform6-ui-components,@amalto/data-grid,1.6.5,2018-03-12T14:46:06.230Z
mike-north/ember-composability,ember-composability,0.1.0,2015-08-16T18:33:09.367Z
prisma/prisma2,prisma2,0.0.128,2019-07-11T13:45:14.347Z
fergiemcdowall/fergies-inverted-index,fergies-inverted-index,8.0.1,2020-11-13T19:04:59.120Z
babel/babel-eslint,babel-eslint,6.1.2,2016-07-09T15:40:42.228Z
SmarterServices/new-id,new-id,0.0.2,2016-02-18T20:15:13.071Z
aboveproperty/ember-drag-drop-polyfill,ember-drag-drop-polyfill,2.0.0,2020-07-08T18:50:09.168Z
zebzhao/Angular-QueryBuilder,angular2-query-builder,0.6.1,2020-03-23T15:04:07.825Z
Andarist/react-textarea-autosize,react-textarea-autosize,5.0.6,2017-05-25T15:46:30.295Z
mozfreddyb/eslint-plugin-no-unsafe-innerhtml/issues,eslint-plugin-no-unsafe-innerhtml,0.1.8,2015-07-03T08:46:40.040Z
neuicons/css-icons,neuicons,1.2.1,2020-07-26T18:02:07.760Z
nteract/ansi-to-react,ansi-to-react,3.0.0,2018-05-08T18:29:12.642Z
emotion-icons/emotion-icons,emotion-icons,2.12.0,2020-09-10T14:51:55.609Z
flyingunicorn222/1broker-client,1broker-client,2.7.17,2017-09-06T09:18:31.986Z
flatfilers/adapter,flatfile-csv-importer,0.2.11,2020-06-17T23:43:32.328Z
ClickerMonkey/dayspan,dayspan,0.11.1,2018-07-14T02:31:51.696Z
marmelab/admin-on-rest,admin-on-rest,0.3.0,2016-09-08T20:45:30.724Z
laysent/eslint-import-resolver-custom-alias,eslint-import-resolver-custom-alias,1.0.0,2018-01-17T00:09:09.353Z
gkz/levn,levn,0.4.1,2020-04-04T02:05:31.527Z
hail2u/postcss-single-charset,postcss-single-charset,0.2.0,2015-01-09T14:16:05.136Z
englishtown/buster-istanbul,buster-istanbul,0.1.14,2015-04-20T06:49:44.774Z
aurelia/aurelia,@aurelia/kernel,0.7.0,2020-05-08T20:53:25.025Z
valor-software/ng2-charts,ng2-charts,2.0.0,2019-03-12T15:27:39.962Z
newrelic/node-native-metrics,@newrelic/native-metrics,2.1.1,2017-04-04T21:16:58.645Z
SBoudrias/file-utils,file-utils,0.2.2,2015-02-06T08:12:23.354Z
contentful/mimetype,@contentful/mimetype,1.4.13,2020-11-30T01:44:51.260Z
aghadiry/serverless-cloudfront-invalidate,serverless-cloudfront-invalidate,1.0.0,2018-02-18T20:29:53.093Z
feathersjs/feathers-socketio,feathers-socketio,1.3.4,2016-04-16T18:11:45.023Z
koajs/compress,koa-compress,3.0.0,2018-04-14T22:49:19.255Z
stonecircle/ember-radio-buttons,ember-radio-buttons,4.0.3,2016-11-10T11:32:34.835Z
auth0/auth0.js,auth0-js,5.5.0,2015-01-23T16:07:27.271Z
mrjoelkemp/node-detective-sass,detective-sass,1.2.0,2016-07-17T15:47:21.729Z
git@gitee.com:gitee-frontend/gitee-ent,gitee-ent,0.9.0,2020-08-31T03:28:26.661Z
DrKain/steam-market-search,steam-market-search,1.0.3,2017-11-04T10:23:57.276Z
iview/iview,iview,2.9.2,2018-02-02T07:17:34.151Z
stdlib/lib-node,lib,1.0.4,2016-11-11T23:26:51.104Z
yahoo/badge-up,badge-up,2.2.0,2016-06-03T20:06:03.039Z
crypto-browserify/crypto-browserify,crypto-browserify,3.11.0,2015-11-03T18:00:42.791Z
davidhu2000/react-spinners,react-spinners,0.0.0,2017-07-04T21:06:47.132Z
UnitedIncome/serverless-python-requirements,serverless-python-requirements,2.1.1,2017-04-06T13:34:38.491Z
rt2zz/react-native-contacts,react-native-contacts,4.0.2,2019-05-11T05:02:57.734Z
newrelic/node-newrelic-koa,@newrelic/koa,3.0.0,2019-10-18T21:05:29.029Z
thekashey/react-clientside-effect,react-clientside-effect,1.0.0,2018-08-17T07:51:54.459Z
novemberborn/package-hash,package-hash,1.0.0,2016-04-14T17:33:34.885Z
gyorgygutai/react-sticky-fill,react-sticky-fill,0.8.3,2017-10-16T13:57:02.595Z
autoricardo/carforyou-api-client-pkg,@carforyou/api-client,14.1.0,2020-05-25T13:33:47.800Z
mafintosh/multi-write-stream,multi-write-stream,2.0.0,2015-11-04T00:54:18.533Z
DanielWeeber/homebridge-http-doorcontroller,homebridge-http-doorcontroller,1.1.42,2017-07-25T16:17:38.760Z
rcjsuen/dockerfile-utils,dockerfile-utils,0.1.1,2020-12-24T23:06:43.202Z
rollup/rollup-pluginutils,rollup-pluginutils,2.7.0,2019-05-15T06:58:34.127Z
jared-stilwell/complexity-report,complexity-report,1.3.0,2015-02-23T21:50:47.569Z
Xotic750/require-coercible-to-string-x,require-coercible-to-string-x,2.0.21,2019-07-24T16:00:47.897Z
onfido/onfido-sdk-ui,onfido-sdk-ui,3.0.1,2018-12-19T16:19:39.453Z
DataTables/Dist-DataTables-Buttons-Bootstrap,datatables.net-buttons-bs,1.1.0,2015-11-07T11:00:32.163Z
googlechromelabs/size-plugin,size-plugin,1.1.2,2019-02-06T14:59:25.390Z
iangreenleaf/githubot,githubot,1.0.1,2016-09-15T04:34:38.072Z
mikermcneil/reportback,reportback,0.1.9,2015-04-22T20:45:55.404Z
git@github.com:raulromanp/ngSticky,ngsticky,1.7.12,2015-11-30T19:06:46.511Z
webex/spark-js-sdk/tree/master/packages/node_modules/@ciscospark/plugin-teams,@ciscospark/plugin-teams,1.42.5,2018-10-04T18:49:45.792Z
SpringRoll/grunt-springroll,grunt-springroll,0.7.2,2015-04-02T14:12:05.466Z
sparrowj/ember-singularity,ember-singularity,1.2.1,2018-03-24T02:07:01.613Z
bjornharrtell/jsts,jsts,0.17.0,2015-11-21T15:37:27.715Z
mongoist/mongoist,mongoist,1.7.1,2018-03-05T16:49:32.339Z
cjihrig/credit-card,credit-card,3.0.2,2019-02-19T14:44:11.926Z
npm/node-fetch-npm,node-fetch-npm,2.0.2,2017-08-15T23:38:09.183Z
sir-dunxalot/ember-tooltips,ember-tooltips,2.9.1,2017-10-10T03:04:15.018Z
syntax-tree/mdast-util-from-markdown,mdast-util-from-markdown,0.7.1,2020-09-30T15:49:14.794Z
wutu/pimatic-ultrasonic,pimatic-ultrasonic,0.9.1,2017-10-15T10:48:43.578Z
babel/babel/tree/master/packages/babel-plugin-transform-es2015-classes,babel-plugin-transform-es2015-classes,6.0.15,2015-11-01T22:09:56.751Z
ferdaber/react-focus-within,react-focus-within,1.1.4,2018-03-21T03:41:07.990Z
bbondy/bloom-filter-js,bloom-filter-js,0.0.4,2015-10-03T23:19:54.497Z
sindresorhus/into-stream,into-stream,2.0.1,2016-04-28T14:14:30.759Z
zapier/formatic,formatic,0.3.49,2016-06-17T21:42:57.482Z
open-wc/es-dev-server,es-dev-server,1.28.1,2019-12-05T20:31:34.351Z
alm-tools/alm,alm,2.33.2,2017-02-27T20:07:24.316Z
benjamine/jsondiffpatch,jsondiffpatch,0.3.5,2018-02-14T04:01:16.943Z
GitbookIO/plugin-exercises,gitbook-plugin-exercises,2.1.1,2016-05-02T11:40:43.558Z
twada/escallmatch,escallmatch,1.4.2,2015-06-05T01:49:43.045Z
pnpm/cmd-shim,@zkochan/cmd-shim,4.1.0,2019-08-23T19:07:35.638Z
hexojs/hexo-pagination,hexo-pagination,0.1.0,2016-06-13T12:31:37.480Z
sanity-io/block-content-to-hyperscript,@sanity/block-content-to-hyperscript,1.2.1,2017-11-09T15:11:30.377Z
jonschlinkert/engine-base,engine-base,0.1.1,2015-09-08T08:33:16.969Z
eslachance/enmap,enmap,4.8.6,2019-05-13T11:57:47.958Z
Trott/slug,slug,0.9.0,2015-04-18T09:12:09.174Z
rvagg/ghutils,ghutils,3.0.1,2015-06-27T10:49:34.507Z
MrBoolean/gulp-run,gulp-run,1.6.12,2015-12-04T04:43:49.654Z
tinymce/tinymce-angular,@tinymce/tinymce-angular,3.3.0,2019-08-20T08:51:04.464Z
phuoc-ng/react-pdf-viewer,@phuocng/react-pdf-viewer,1.3.0,2020-03-05T15:38:22.695Z
smalldots/smalldots,smalldots,0.22.0,2016-09-06T22:15:24.725Z
wix/openrest4js,openrest4js,1.0.881,2020-01-31T04:55:27.013Z
codesuki/react-d3-components,react-d3-components,0.3.5,2015-03-02T07:47:12.783Z
feathersjs-ecosystem/feathers-swagger,feathers-swagger,0.3.5,2017-04-01T00:06:52.241Z
thisandagain/fastly,fastly,2.2.1,2018-09-17T18:02:16.634Z
sindresorhus/active-win,active-win,5.1.2,2019-06-27T14:51:11.426Z
kewisch/sepa.js,sepa,1.0.2,2017-08-25T15:21:01.451Z
FirebaseExtended/reactfire,reactfire,0.5.0,2015-07-16T18:33:52.016Z
dwieeb/jquery-textrange,jquery-textrange,1.4.0,2017-04-29T02:33:11.685Z
pugjs/pug/tree/master/packages/pug-linker,pug-linker,3.0.4,2018-03-06T13:12:32.928Z
storybooks/storyshots,storyshots,3.1.0,2016-12-23T22:58:04.415Z
airbnb/rheostat,rheostat,3.0.2,2018-12-11T05:09:26.667Z
RIAEvangelist/event-pubsub,event-pubsub,5.0.1,2020-11-23T05:30:14.575Z
desandro/doc-ready,doc-ready,1.0.4,2016-05-27T10:38:43.816Z
node-modules/humanize-bytes,humanize-bytes,1.0.1,2015-12-24T05:20:40.003Z
tylerl0706/wgetjs,node-wget,0.4.0,2015-11-27T01:27:29.123Z
facebook/reason,reason,1.7.0,2017-01-30T23:56:50.528Z
smartcontractkit/external-adapters-js,@chainlink/reduce,0.0.1,2020-10-14T15:35:35.937Z
